gPlusPlaceId,rate,reviewTime,visitTime,price
101788547508969264434,3.0,12.0,1,3
101150904969050708534,3.0,12.0,1,2
105200572766918162116,4.0,12.666666666666666,3,3
112700120194708351472,5.0,13.0,1,1
101634997104301806688,4.0,12.333333333333334,3,2
110147033354055021682,4.0,13.0,7,3
104502764246945770055,2.0,13.0,1,3
108585910849109169666,4.5,12.0,2,3
110864889964667973890,3.6666666666666665,11.666666666666666,3,2
117235283533657903254,4.5,11.0,2,1
114994915024071754539,4.5,12.0,2,2
118100250980311522399,4.666666666666667,11.0,3,2
117529021305897868957,3.0,13.0,1,2
110092324916662579971,4.0,11.666666666666666,3,2
103183341477493828670,5.0,12.0,1,2
103888879065110855041,5.0,13.0,1,2
118279746793420842563,4.2,12.8,5,3
107390227071306429060,4.5,12.5,2,2
111359007563030584853,5.0,12.0,2,2
118180746529675226433,5.0,13.0,1,2
115018126413297939425,4.0,13.0,1,2
112557103166476485108,5.0,13.5,2,3
108335852129552574399,4.0,12.0,1,3
104278360420407431319,2.75,12.75,4,2
113285258826425712840,5.0,12.0,1,2
110915173906739768156,4.0,13.0,2,2
115757957627721988675,4.5,13.0,2,2
101364495924446646306,2.6666666666666665,12.666666666666666,3,3
102281268731846224402,3.0,12.0,1,2
107377745432053659364,4.5,11.5,2,2
108726835119576698559,5.0,12.0,1,2
103458215113043937404,4.555555555555555,13.333333333333334,9,1
102008555105750929432,3.0,13.0,1,2
110450325542937275670,5.0,13.0,1,2
111476893654465517504,4.0,13.0,1,3
116331996912844676421,5.0,12.5,2,2
111245314647728859033,2.0,12.0,1,3
109985037798554863697,3.0,12.0,1,3
109205661536186731131,4.0,13.0,1,2
114713828789925583632,3.0,13.0,1,2
103910903908097474527,5.0,13.0,1,2
112703414824577472032,5.0,13.0,1,2
100178931635780781470,5.0,12.0,2,3
101867121039957793663,3.0,13.0,1,3
103939407974255688238,5.0,12.0,1,2
107164287537008936302,3.0,12.0,2,3
109267703099600132079,3.0,12.0,1,3
110606153784488780574,4.5,12.5,2,2
113600929811105513658,4.0,13.0,1,2
114272921746699387804,4.0,13.0,1,2
100924905982902462706,3.75,11.5,4,2
102959437482728862378,4.0,12.0,1,2
103124578121356311108,4.6,11.6,5,2
104029704497459523668,2.0,12.0,1,2
105573151187353181162,4.0,13.0,1,2
105905468645141950900,4.5,12.863636363636363,22,2
106755529219341967018,5.0,11.0,1,1
106931926555337738039,3.0,13.0,1,2
108988733095579309590,4.0,12.5,2,2
109057860704836431417,3.0,12.0,2,2
109156764055871052021,3.0,11.5,2,1
110857282954851218199,5.0,12.0,1,2
110903715269406735911,5.0,13.0,1,1
111670492263047780598,5.0,11.666666666666666,3,1
114239716198399189762,4.5,12.5,2,2
116776532218948506757,4.0,12.0,1,2
117503565795054824834,5.0,12.0,1,1
118315570299788687856,3.5,11.0,2,2
105316293718838702315,5.0,13.0,1,2
105589668159024738610,5.0,13.0,1,2
112623507596809345035,4.0,13.0,1,2
114745163460555595538,3.0,13.0,1,2
110509458806597723116,4.0,12.0,1,2
102316622864617163096,5.0,14.0,1,2
109146503754954554206,5.0,13.0,1,2
112602999597241746059,5.0,11.0,1,2
114673988097652912217,3.5,12.0,2,2
110532329042905099662,5.0,13.0,2,3
102832117273541852893,4.666666666666667,12.333333333333334,3,1
103847410327451574096,4.0,9.333333333333334,3,2
101392357753276616352,2.0,13.0,1,2
109221654849947640750,5.0,13.0,2,3
115022269842886311805,5.0,12.0,1,3
112920427064535337991,5.0,12.666666666666666,3,2
104311100585790045518,3.0,12.0,1,3
107632481997916702572,4.0,12.0,1,3
109273027395910162769,4.0,12.333333333333334,3,2
101558916725290145882,4.0,11.0,1,3
101902084049358138734,3.5,11.0,2,3
105695295963027267794,2.0,11.0,1,2
112056440199499067697,3.0,12.0,5,3
112610750235634830337,4.5,10.5,2,3
114735143729299990529,5.0,12.5,2,2
116714290900672170748,4.5,12.0,2,2
114599789625441369240,5.0,10.0,1,2
104834955896047099944,4.0,12.0,1,2
110087830744246660055,3.0,12.5,4,2
114837061033142329857,4.333333333333333,12.0,3,2
114899861351027770789,3.0,12.0,1,2
106158544902877943568,3.0,11.0,2,2
117796298134504024059,4.5,13.0,2,2
117474928487189529190,4.0,13.0,1,3
115671799654997579047,4.0,13.0,1,3
109513184841633242248,5.0,13.0,1,2
103875725006430624671,1.0,13.0,1,3
106224653671985054320,2.5,14.0,2,3
109642078376650835818,5.0,12.0,1,3
104509758410919121587,4.0,12.0,1,3
116398016104708341809,5.0,11.5,2,2
106790701703480713110,1.0,13.0,1,3
106182076425871728964,5.0,13.0,1,3
109230265311155130667,4.0,13.0,1,2
103786322178001427843,4.0,8.0,1,2
116823118890832967955,5.0,11.0,1,3
100491746429191670261,4.5,12.25,4,3
113222470445089038543,4.5,13.5,2,2
100639596458510898409,4.0,11.0,1,2
102659523114289603912,2.0,8.0,1,3
103469257671817476728,4.0,12.0,1,2
104514403664992919459,4.0,4.0,1,2
106026407859914667064,4.0,4.0,1,2
110890957979416262259,3.0,4.0,1,3
111261868254210878548,4.0,10.0,1,3
112185745647898499009,4.0,4.0,1,2
112294389863153061836,4.0,9.5,2,2
112729062439736623260,4.0,4.0,1,2
115682998120914836626,3.0,4.0,1,2
118122128168296499700,4.5,11.0,2,3
114781865961627441828,5.0,12.0,1,3
116422501882637847286,3.0,13.0,1,1
108899566531817940547,5.0,14.0,1,3
115098675851502615169,4.0,11.0,1,3
104228718742188411872,2.5,13.5,2,3
112628173623734872017,4.142857142857143,11.571428571428571,7,2
116555416797255000560,4.0,13.0,1,2
111600751019003224084,3.6666666666666665,12.666666666666666,3,2
105907375313965130083,4.5,12.0,2,2
114407663862333461774,5.0,12.0,1,2
106178092559994437147,1.0,14.0,1,3
111207572994439704859,5.0,14.0,1,2
104736126626300888192,5.0,13.0,1,2
104939936717863778559,2.0,13.0,1,3
113731582730578350193,4.0,13.0,1,2
102663523613618521462,4.0,12.0,1,2
114143139503234068951,4.0,12.0,1,2
114351719060638569466,5.0,10.5,2,2
110903936544983694368,3.0,12.0,1,2
105103904536996438304,3.0,12.5,2,2
115110853782665100269,4.0,13.0,1,3
108763084234177092632,4.0,13.0,2,2
113084805352632717357,5.0,13.0,1,3
100440450148684036722,4.0,10.0,1,2
100664707178553592562,4.0,10.0,1,2
102257640971308716925,5.0,11.0,1,3
102948856840198558664,3.0,10.0,1,3
104388986163727783882,3.0,10.0,1,3
104448906467288460932,3.0,10.0,1,2
104814002235630299046,4.0,10.0,1,3
106579463539993327186,5.0,11.0,2,3
110653348625384293959,4.2,11.2,5,3
111748123963117609287,4.0,10.0,1,2
111960606480285355550,3.5,10.5,2,2
113928604850595654746,4.0,10.0,1,3
114129101132826115377,3.0,10.0,1,2
114368129150628967324,4.0,11.25,4,2
116303507411806763825,3.0,10.0,2,2
116687998859859538840,4.0,10.0,1,3
116746641617330171901,4.0,11.0,1,2
117580193277792425323,5.0,11.0,3,3
118126466483537376327,3.4285714285714284,11.142857142857142,7,2
118375474650830172802,4.0,10.0,1,2
104983209657358983157,4.5,13.0,2,2
102864057083671992089,4.0,13.0,1,2
111702650073590822635,4.5,13.0,2,3
113586586619340508771,4.0,13.0,1,2
100754146119847697114,3.0,11.0,1,3
113264766094605350809,5.0,12.0,1,3
116256261622942143993,4.0,13.0,1,3
108935781268183514053,5.0,13.0,1,2
117044063610107258412,5.0,11.0,1,2
103723920066272473366,3.0,11.0,1,2
105816804671137381282,4.0,11.0,1,3
107035710233570261524,3.0,11.0,1,2
114466110750134213456,3.0,13.0,2,2
118303493813232784959,4.25,12.0,4,3
111147842889510857492,5.0,13.0,1,3
103523229133874448753,4.5,9.5,2,1
109654806613611032535,4.0,9.0,1,2
112846140272644644543,5.0,8.0,1,1
100269826851128038815,3.75,9.75,4,2
102811042736521449729,5.0,13.0,1,2
107837466149672377453,4.5,11.0,2,2
117046931770332140482,3.5,12.0,2,2
105864278762308490766,5.0,11.0,1,2
107932514131196403631,5.0,12.0,2,2
101228345196254503948,4.0,13.0,1,3
118110401526702827739,5.0,12.0,1,3
111688177946449947255,2.5,12.0,2,3
102561424963670199662,5.0,12.0,1,2
106906343621956193787,3.0,13.0,1,2
110994517830828232979,4.0,12.0,1,2
116422924210185208530,5.0,13.0,1,2
100638177799234165457,2.0,12.0,1,3
102446599135404624204,1.0,14.0,1,3
117970036585649654733,5.0,12.5,2,2
109085705895491215935,5.0,11.0,1,2
102228745137350083661,4.0,12.0,1,3
111625787679338043416,5.0,13.0,1,3
107492822345131103463,2.0,13.0,1,3
110527614260506363692,4.5,13.0,2,2
113325364312310723103,5.0,12.0,1,2
107548825163210753418,5.0,13.0,1,3
109504279220977597621,3.6666666666666665,12.666666666666666,3,3
104975794586872555885,4.0,13.0,1,1
114650390524342280790,5.0,13.0,1,3
113446655545381904888,4.0,13.0,1,2
116161632703550412279,4.333333333333333,11.333333333333334,3,2
100738623090118394468,5.0,13.0,2,2
101264866995996625294,3.5,12.5,2,2
101263024723629270457,4.0,11.5,2,2
102461948995062756615,3.0,12.0,1,2
103689532901182447727,3.3333333333333335,11.333333333333334,3,2
103730192908857338851,4.5,12.0,2,2
106494938063485023639,4.333333333333333,11.666666666666666,3,3
107105536150099499704,4.5,11.5,2,1
110267049285958925971,3.3333333333333335,12.333333333333334,3,3
110246928087381027552,2.0,13.0,1,3
115808683899035167558,5.0,11.0,1,2
113034543477577683160,4.555555555555555,12.666666666666666,9,2
109463166051291550769,5.0,12.5,2,2
102525971723254850286,5.0,13.0,1,2
110869342481283846380,2.6,11.2,5,3
111232769177941323430,5.0,12.0,1,3
112614607842058724314,4.0,12.0,1,3
112546853042652943199,5.0,13.0,1,2
104468100788894196105,5.0,14.0,1,2
114965741577703144317,4.666666666666667,12.0,3,3
107926985411120044415,4.0,10.0,1,2
108509600920065498269,4.6,12.6,5,2
116761925143246152946,3.75,11.75,4,2
100552941207621151777,4.0,12.0,1,3
104689703842217438739,4.0,12.0,1,2
108811794865182322779,4.5,11.25,4,2
114906864003162353317,4.0,12.5,2,3
101242240403900765269,3.0,12.0,1,3
103957680552511475479,4.0,14.0,1,2
106576477766202372928,4.0,12.0,1,3
109754980958051949091,3.0,12.0,1,2
107680442878912632900,5.0,13.0,1,2
111650494219842557894,4.0,9.0,2,2
117541430659768181279,5.0,13.0,1,2
117383249986509091230,1.6666666666666667,13.0,3,2
115300677295529529399,4.0,10.0,1,3
118330695999934127258,4.0,13.0,1,2
109261877165648687187,5.0,13.0,1,2
106226530767447107201,3.0,12.0,1,2
104883429437650704878,4.5,12.75,4,2
